,measure_name,location_id,location_name,sex_id,sex_name,age_group_id,age_group_name,year_id,val,upper,lower
0,Prevalence,1,Global,1,Male,149,15 to 24,2019,0.201031314,0.208350653,0.194303298
1,Prevalence,1,Global,2,Female,149,15 to 24,2019,0.049510975,0.05288687,0.046405622
2,Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,149,15 to 24,2019,0.320305292,0.339933656,0.301512273
3,Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,149,15 to 24,2019,0.026896682,0.034973362,0.021595622
4,Prevalence,6,China,1,Male,149,15 to 24,2019,0.301430852,0.332005104,0.269564075
5,Prevalence,6,China,2,Female,149,15 to 24,2019,0.021667485,0.03548758,0.01340683
6,Prevalence,7,Democratic People's Republic of Korea,1,Male,149,15 to 24,2019,0.259976424,0.308963726,0.213969391
7,Prevalence,7,Democratic People's Republic of Korea,2,Female,149,15 to 24,2019,0.024088387,0.042122184,0.011970341
8,Prevalence,8,Taiwan (Province of China),1,Male,149,15 to 24,2019,0.245859119,0.288292214,0.203465664
9,Prevalence,8,Taiwan (Province of China),2,Female,149,15 to 24,2019,0.045194623,0.079341148,0.023168444
10,Prevalence,10,Cambodia,1,Male,149,15 to 24,2019,0.149118658,0.178902198,0.122546105
11,Prevalence,10,Cambodia,2,Female,149,15 to 24,2019,0.021387847,0.035825636,0.011975751
12,Prevalence,11,Indonesia,1,Male,149,15 to 24,2019,0.417309632,0.450694426,0.386233401
13,Prevalence,11,Indonesia,2,Female,149,15 to 24,2019,0.022368723,0.035448543,0.013185062
14,Prevalence,12,Lao People's Democratic Republic,1,Male,149,15 to 24,2019,0.287128164,0.332666685,0.24223549
15,Prevalence,12,Lao People's Democratic Republic,2,Female,149,15 to 24,2019,0.034617874,0.053573641,0.020305268
16,Prevalence,13,Malaysia,1,Male,149,15 to 24,2019,0.335679623,0.378653249,0.292699344
17,Prevalence,13,Malaysia,2,Female,149,15 to 24,2019,0.030220288,0.047946961,0.018232156
18,Prevalence,14,Maldives,1,Male,149,15 to 24,2019,0.362842462,0.417956575,0.30716633
19,Prevalence,14,Maldives,2,Female,149,15 to 24,2019,0.05619896,0.085205877,0.033854348
20,Prevalence,15,Myanmar,1,Male,149,15 to 24,2019,0.332903158,0.371540989,0.295280764
21,Prevalence,15,Myanmar,2,Female,149,15 to 24,2019,0.017567932,0.029136874,0.009349718
22,Prevalence,16,Philippines,1,Male,149,15 to 24,2019,0.330997868,0.367039371,0.296983059
23,Prevalence,16,Philippines,2,Female,149,15 to 24,2019,0.067026387,0.093243625,0.046986044
24,Prevalence,17,Sri Lanka,1,Male,149,15 to 24,2019,0.162264266,0.193404219,0.134884988
25,Prevalence,17,Sri Lanka,2,Female,149,15 to 24,2019,0.009107917,0.016853201,0.004642437
26,Prevalence,18,Thailand,1,Male,149,15 to 24,2019,0.34029192,0.374489963,0.304612545
27,Prevalence,18,Thailand,2,Female,149,15 to 24,2019,0.028759053,0.045856384,0.017616192
28,Prevalence,19,Timor-Leste,1,Male,149,15 to 24,2019,0.527835376,0.569912842,0.487880129
29,Prevalence,19,Timor-Leste,2,Female,149,15 to 24,2019,0.038036161,0.059717819,0.02313659
30,Prevalence,20,Viet Nam,1,Male,149,15 to 24,2019,0.268820149,0.303974755,0.235510043
31,Prevalence,20,Viet Nam,2,Female,149,15 to 24,2019,0.011083017,0.019996347,0.005691373
32,Prevalence,22,Fiji,1,Male,149,15 to 24,2019,0.367293217,0.427566705,0.308190739
33,Prevalence,22,Fiji,2,Female,149,15 to 24,2019,0.149505776,0.223765403,0.096204751
34,Prevalence,23,Kiribati,1,Male,149,15 to 24,2019,0.546629234,0.595294912,0.496583922
35,Prevalence,23,Kiribati,2,Female,149,15 to 24,2019,0.259172621,0.332638552,0.194433056
36,Prevalence,24,Marshall Islands,1,Male,149,15 to 24,2019,0.399918524,0.454699863,0.34422475
37,Prevalence,24,Marshall Islands,2,Female,149,15 to 24,2019,0.121914747,0.174202847,0.080005918
38,Prevalence,25,Micronesia (Federated States of),1,Male,149,15 to 24,2019,0.635529824,0.692267291,0.573920629
39,Prevalence,25,Micronesia (Federated States of),2,Female,149,15 to 24,2019,0.383912566,0.491232993,0.280934506
40,Prevalence,26,Papua New Guinea,1,Male,149,15 to 24,2019,0.466636585,0.519706576,0.41259004
41,Prevalence,26,Papua New Guinea,2,Female,149,15 to 24,2019,0.230111751,0.30011484,0.170632375
42,Prevalence,27,Samoa,1,Male,149,15 to 24,2019,0.26308351,0.300286715,0.227746392
43,Prevalence,27,Samoa,2,Female,149,15 to 24,2019,0.098911259,0.138430869,0.067051406
