,measure_name,location_id,location_name,sex_id,SEX_NAME,age_group_id,year_id,val,upper,lower,newValCol
0,Prevalence,1,Global,1,Male,149,2019,0.201031314,0.208350653,0.194303298,1000.201031314
1,Prevalence,1,Global,2,Female,149,2019,0.049510975,0.05288687,0.046405622,1000.049510975
2,Prevalence,4,"Southeast Asia, East Asia, and Oceania",1,Male,149,2019,0.320305292,0.339933656,0.301512273,1000.320305292
3,Prevalence,4,"Southeast Asia, East Asia, and Oceania",2,Female,149,2019,0.026896682,0.034973362,0.021595622,1000.026896682
4,Prevalence,6,China,1,Male,149,2019,0.301430852,0.332005104,0.269564075,1000.301430852
5,Prevalence,6,China,2,Female,149,2019,0.021667485,0.03548758,0.01340683,1000.021667485
6,Prevalence,7,Democratic People's Republic of Korea,1,Male,149,2019,0.259976424,0.308963726,0.213969391,1000.259976424
7,Prevalence,7,Democratic People's Republic of Korea,2,Female,149,2019,0.024088387,0.042122184,0.011970341,1000.024088387
8,Prevalence,8,Taiwan (Province of China),1,Male,149,2019,0.245859119,0.288292214,0.203465664,1000.245859119
9,Prevalence,8,Taiwan (Province of China),2,Female,149,2019,0.045194623,0.079341148,0.023168444,1000.045194623
10,Prevalence,10,Cambodia,1,Male,149,2019,0.149118658,0.178902198,0.122546105,1000.149118658
11,Prevalence,10,Cambodia,2,Female,149,2019,0.021387847,0.035825636,0.011975751,1000.021387847
12,Prevalence,11,Indonesia,1,Male,149,2019,0.417309632,0.450694426,0.386233401,1000.417309632
13,Prevalence,11,Indonesia,2,Female,149,2019,0.022368723,0.035448543,0.013185062,1000.022368723
14,Prevalence,12,Lao People's Democratic Republic,1,Male,149,2019,0.287128164,0.332666685,0.24223549,1000.287128164
15,Prevalence,12,Lao People's Democratic Republic,2,Female,149,2019,0.034617874,0.053573641,0.020305268,1000.034617874
16,Prevalence,13,Malaysia,1,Male,149,2019,0.335679623,0.378653249,0.292699344,1000.335679623
17,Prevalence,13,Malaysia,2,Female,149,2019,0.030220288,0.047946961,0.018232156,1000.030220288
18,Prevalence,14,Maldives,1,Male,149,2019,0.362842462,0.417956575,0.30716633,1000.362842462
19,Prevalence,14,Maldives,2,Female,149,2019,0.05619896,0.085205877,0.033854348,1000.05619896
20,Prevalence,15,Myanmar,1,Male,149,2019,0.332903158,0.371540989,0.295280764,1000.332903158
21,Prevalence,15,Myanmar,2,Female,149,2019,0.017567932,0.029136874,0.009349718,1000.017567932
22,Prevalence,16,Philippines,1,Male,149,2019,0.330997868,0.367039371,0.296983059,1000.330997868
23,Prevalence,16,Philippines,2,Female,149,2019,0.067026387,0.093243625,0.046986044,1000.067026387
24,Prevalence,17,Sri Lanka,1,Male,149,2019,0.162264266,0.193404219,0.134884988,1000.162264266
25,Prevalence,17,Sri Lanka,2,Female,149,2019,0.009107917,0.016853201,0.004642437,1000.009107917
26,Prevalence,18,Thailand,1,Male,149,2019,0.34029192,0.374489963,0.304612545,1000.34029192
27,Prevalence,18,Thailand,2,Female,149,2019,0.028759053,0.045856384,0.017616192,1000.028759053
28,Prevalence,19,Timor-Leste,1,Male,149,2019,0.527835376,0.569912842,0.487880129,1000.527835376
29,Prevalence,19,Timor-Leste,2,Female,149,2019,0.038036161,0.059717819,0.02313659,1000.038036161
30,Prevalence,20,Viet Nam,1,Male,149,2019,0.268820149,0.303974755,0.235510043,1000.268820149
31,Prevalence,20,Viet Nam,2,Female,149,2019,0.011083017,0.019996347,0.005691373,1000.011083017
32,Prevalence,22,Fiji,1,Male,149,2019,0.367293217,0.427566705,0.308190739,1000.367293217
33,Prevalence,22,Fiji,2,Female,149,2019,0.149505776,0.223765403,0.096204751,1000.149505776
34,Prevalence,23,Kiribati,1,Male,149,2019,0.546629234,0.595294912,0.496583922,1000.546629234
35,Prevalence,23,Kiribati,2,Female,149,2019,0.259172621,0.332638552,0.194433056,1000.259172621
36,Prevalence,24,Marshall Islands,1,Male,149,2019,0.399918524,0.454699863,0.34422475,1000.399918524
37,Prevalence,24,Marshall Islands,2,Female,149,2019,0.121914747,0.174202847,0.080005918,1000.121914747
38,Prevalence,25,Micronesia (Federated States of),1,Male,149,2019,0.635529824,0.692267291,0.573920629,1000.635529824
39,Prevalence,25,Micronesia (Federated States of),2,Female,149,2019,0.383912566,0.491232993,0.280934506,1000.383912566
40,Prevalence,26,Papua New Guinea,1,Male,149,2019,0.466636585,0.519706576,0.41259004,1000.466636585
41,Prevalence,26,Papua New Guinea,2,Female,149,2019,0.230111751,0.30011484,0.170632375,1000.230111751
42,Prevalence,27,Samoa,1,Male,149,2019,0.26308351,0.300286715,0.227746392,1000.26308351
43,Prevalence,27,Samoa,2,Female,149,2019,0.098911259,0.138430869,0.067051406,1000.098911259
44,Prevalence,28,Solomon Islands,1,Male,149,2019,0.464590331,0.50862202,0.421070392,1000.464590331
45,Prevalence,28,Solomon Islands,2,Female,149,2019,0.189218141,0.241000193,0.14524627,1000.189218141
46,Prevalence,29,Tonga,1,Male,149,2019,0.33642242,0.384164016,0.291823309,1000.33642242
47,Prevalence,29,Tonga,2,Female,149,2019,0.133605452,0.185700955,0.091155771,1000.133605452
48,Prevalence,30,Vanuatu,1,Male,149,2019,0.36383676,0.413134163,0.315640312,1000.36383676
49,Prevalence,30,Vanuatu,2,Female,149,2019,0.104753807,0.148256244,0.067107843,1000.104753807
50,Prevalence,31,"Central Europe, Eastern Europe, and Central Asia",1,Male,149,2019,0.278075539,0.289536324,0.266604877,1000.278075539
51,Prevalence,31,"Central Europe, Eastern Europe, and Central Asia",2,Female,149,2019,0.147205662,0.160916617,0.13470719,1000.147205662
52,Prevalence,33,Armenia,1,Male,149,2019,0.383028244,0.421016185,0.348628252,1000.383028244
53,Prevalence,33,Armenia,2,Female,149,2019,0.018701783,0.032074112,0.009929759,1000.018701783
54,Prevalence,34,Azerbaijan,1,Male,149,2019,0.284210914,0.31913846,0.249455474,1000.284210914
55,Prevalence,34,Azerbaijan,2,Female,149,2019,0.024114862,0.040323586,0.01271427,1000.024114862
56,Prevalence,35,Georgia,1,Male,149,2019,0.400652231,0.443196937,0.360775175,1000.400652231
57,Prevalence,35,Georgia,2,Female,149,2019,0.071375647,0.098183982,0.048912937,1000.071375647
58,Prevalence,36,Kazakhstan,1,Male,149,2019,0.242786165,0.280059675,0.208427152,1000.242786165
59,Prevalence,36,Kazakhstan,2,Female,149,2019,0.07202955,0.105546565,0.04606664,1000.07202955
60,Prevalence,37,Kyrgyzstan,1,Male,149,2019,0.233559142,0.275147024,0.194722708,1000.233559142
61,Prevalence,37,Kyrgyzstan,2,Female,149,2019,0.039782034,0.064824057,0.023475834,1000.039782034
62,Prevalence,38,Mongolia,1,Male,149,2019,0.354108947,0.402376902,0.306570061,1000.354108947
63,Prevalence,38,Mongolia,2,Female,149,2019,0.052123401,0.080988351,0.031753843,1000.052123401
64,Prevalence,39,Tajikistan,1,Male,149,2019,0.089261151,0.110495933,0.070603356,1000.089261151
65,Prevalence,39,Tajikistan,2,Female,149,2019,0.010068592,0.018819474,0.005000995,1000.010068592
66,Prevalence,40,Turkmenistan,1,Male,149,2019,0.166887524,0.206108476,0.131269473,1000.166887524
67,Prevalence,40,Turkmenistan,2,Female,149,2019,0.016545656,0.028806042,0.008825361,1000.016545656
68,Prevalence,41,Uzbekistan,1,Male,149,2019,0.087561364,0.11200859,0.06726777,1000.087561364
69,Prevalence,41,Uzbekistan,2,Female,149,2019,0.013186816,0.0245438,0.006532588,1000.013186816
70,Prevalence,43,Albania,1,Male,149,2019,0.441230513,0.479269735,0.404896597,1000.441230513
71,Prevalence,43,Albania,2,Female,149,2019,0.124452217,0.182584899,0.079462109,1000.124452217
72,Prevalence,44,Bosnia and Herzegovina,1,Male,149,2019,0.313158251,0.362090715,0.268303303,1000.313158251
73,Prevalence,44,Bosnia and Herzegovina,2,Female,149,2019,0.243802724,0.325464802,0.172471679,1000.243802724
74,Prevalence,45,Bulgaria,1,Male,149,2019,0.377443669,0.42219896,0.329533203,1000.377443669
75,Prevalence,45,Bulgaria,2,Female,149,2019,0.396656923,0.470808043,0.325464156,1000.396656923
76,Prevalence,46,Croatia,1,Male,149,2019,0.371337888,0.415244445,0.330902607,1000.371337888
77,Prevalence,46,Croatia,2,Female,149,2019,0.348788664,0.409884157,0.287840043,1000.348788664
78,Prevalence,47,Czechia,1,Male,149,2019,0.351567111,0.388407716,0.315024996,1000.351567111
79,Prevalence,47,Czechia,2,Female,149,2019,0.292860744,0.340701068,0.245768902,1000.292860744
80,Prevalence,48,Hungary,1,Male,149,2019,0.327927572,0.379165676,0.281773914,1000.327927572
81,Prevalence,48,Hungary,2,Female,149,2019,0.296774292,0.374430041,0.23057707,1000.296774292
82,Prevalence,49,North Macedonia,1,Male,149,2019,0.376779974,0.423025136,0.333400847,1000.376779974
83,Prevalence,49,North Macedonia,2,Female,149,2019,0.238201508,0.300382701,0.181355774,1000.238201508
84,Prevalence,50,Montenegro,1,Male,149,2019,0.201776163,0.229918244,0.175350909,1000.201776163
85,Prevalence,50,Montenegro,2,Female,149,2019,0.16439832,0.204908609,0.127557897,1000.16439832
86,Prevalence,51,Poland,1,Male,149,2019,0.284947472,0.318250588,0.255534228,1000.284947472
87,Prevalence,51,Poland,2,Female,149,2019,0.248462206,0.29797246,0.2071739,1000.248462206
88,Prevalence,52,Romania,1,Male,149,2019,0.34274207,0.379221982,0.306605716,1000.34274207
89,Prevalence,52,Romania,2,Female,149,2019,0.222514179,0.273048095,0.182304887,1000.222514179
90,Prevalence,53,Serbia,1,Male,149,2019,0.274579385,0.310280446,0.239630599,1000.274579385
91,Prevalence,53,Serbia,2,Female,149,2019,0.335464474,0.39880222,0.274441411,1000.335464474
92,Prevalence,54,Slovakia,1,Male,149,2019,0.323509028,0.368632859,0.280648485,1000.323509028
93,Prevalence,54,Slovakia,2,Female,149,2019,0.28319487,0.342155059,0.225387037,1000.28319487
94,Prevalence,55,Slovenia,1,Male,149,2019,0.32684154,0.36929029,0.28752971,1000.32684154
95,Prevalence,55,Slovenia,2,Female,149,2019,0.283786817,0.338789038,0.226082088,1000.283786817
96,Prevalence,57,Belarus,1,Male,149,2019,0.36386349,0.412453928,0.314422702,1000.36386349
97,Prevalence,57,Belarus,2,Female,149,2019,0.260411968,0.332677593,0.195306644,1000.260411968
98,Prevalence,58,Estonia,1,Male,149,2019,0.285854817,0.319466848,0.254322672,1000.285854817
99,Prevalence,58,Estonia,2,Female,149,2019,0.206668318,0.253209964,0.165365471,1000.206668318
100,Prevalence,59,Latvia,1,Male,149,2019,0.399495519,0.436371201,0.359874528,1000.399495519
101,Prevalence,59,Latvia,2,Female,149,2019,0.273824226,0.330231567,0.221062261,1000.273824226
102,Prevalence,60,Lithuania,1,Male,149,2019,0.345867062,0.385451977,0.306896414,1000.345867062
103,Prevalence,60,Lithuania,2,Female,149,2019,0.285521483,0.345018626,0.240511978,1000.285521483
104,Prevalence,61,Republic of Moldova,1,Male,149,2019,0.343940366,0.387990617,0.301717717,1000.343940366
105,Prevalence,61,Republic of Moldova,2,Female,149,2019,0.085631564,0.126211788,0.055705811,1000.085631564
106,Prevalence,62,Russian Federation,1,Male,149,2019,0.315588433,0.344367474,0.286598077,1000.315588433
107,Prevalence,62,Russian Federation,2,Female,149,2019,0.147283576,0.182059338,0.115064459,1000.147283576
108,Prevalence,63,Ukraine,1,Male,149,2019,0.352780492,0.398025046,0.314425451,1000.352780492
109,Prevalence,63,Ukraine,2,Female,149,2019,0.181448568,0.23664806,0.138383564,1000.181448568
110,Prevalence,64,High-income,1,Male,149,2019,0.241617498,0.251433814,0.231307609,1000.241617498
111,Prevalence,64,High-income,2,Female,149,2019,0.17204522,0.184648122,0.159195201,1000.17204522
112,Prevalence,66,Brunei Darussalam,1,Male,149,2019,0.28108722,0.341879286,0.223769987,1000.28108722
113,Prevalence,66,Brunei Darussalam,2,Female,149,2019,0.057758054,0.092970899,0.0327937,1000.057758054
114,Prevalence,67,Japan,1,Male,149,2019,0.227058902,0.271166383,0.185598907,1000.227058902
115,Prevalence,67,Japan,2,Female,149,2019,0.066010617,0.102750505,0.039514327,1000.066010617
116,Prevalence,68,Republic of Korea,1,Male,149,2019,0.297490119,0.348635447,0.245511214,1000.297490119
117,Prevalence,68,Republic of Korea,2,Female,149,2019,0.075724165,0.121293816,0.044780543,1000.075724165
118,Prevalence,69,Singapore,1,Male,149,2019,0.172822232,0.211246657,0.137919818,1000.172822232
119,Prevalence,69,Singapore,2,Female,149,2019,0.074725882,0.116309282,0.045725017,1000.074725882
120,Prevalence,71,Australia,1,Male,149,2019,0.156711848,0.192272149,0.12612159,1000.156711848
121,Prevalence,71,Australia,2,Female,149,2019,0.14536384,0.206774176,0.098396271,1000.14536384
122,Prevalence,72,New Zealand,1,Male,149,2019,0.208349752,0.233242198,0.184759769,1000.208349752
123,Prevalence,72,New Zealand,2,Female,149,2019,0.159307936,0.19269073,0.130404419,1000.159307936
124,Prevalence,74,Andorra,1,Male,149,2019,0.295801395,0.36145258,0.229275142,1000.295801395
